index,rank_2027,rank_2026,institution_name,country_territory,region,size,focus,research_intensity,status,academic_reputation_score,academic_reputation_rank,employer_reputation_score,employer_reputation_rank,faculty_student_score,faculty_student_rank,citations_per_faculty_score,citations_per_faculty_rank,international_faculty_score,international_faculty_rank,international_students_score,international_students_rank,international_research_network_score,international_research_network_rank,employment_outcomes_score,employment_outcomes_rank,sustainability_score,sustainability_rank,overall_score
545,545,487,Edith Cowan University,Australia,Oceania,L,CO,VH,Public,12.8,701+,11.7,701+,5.9,801+,50.1,370,99.1,130,75.6,254,68.2,604,8.6,801+,52.7,801+,30.3
546,546,549,Florida State University,United States of America,Americas,XL,FC,VH,Public,33.1,369,32.7,426,10.8,801+,26.1,650,21.1,721,8,801+,81.1,365,30.2,583,62,575=,30.1
547,546,556,Indian Institute of Technology Indore,India,Asia,S,FO,VH,Public,8,701+,18.4,701+,22.2,794,97.4,58,1.2,801+,1.3,801+,27.3,801+,11.5,801+,47.2,801+,30.1
548,546,504,University of Guelph,Canada,Americas,L,CO,VH,Public,20.6,589,17.8,701+,6.1,801+,48.2,383,46.3,490,18.7,759,77.4,430,16.5,801+,84.2,162=,30.1
549,549,526,Boston College,United States of America,Americas,L,CO,VH,Private not for Profit,32.2,382,28.1,496,31,614,18.3,763,6.5,801+,26.5,642,47.3,801+,68,228,60,618=,29.9
550,549,542,Universiti Teknologi MARA - UiTM,Malaysia,Asia,XL,FC,VH,Public,46.9,253,37.8,364,28,674,5.6,801+,2.6,801+,2.8,801+,78.7,405,5,801+,59.6,631=,29.9
551,551,542,"Ain Shams University in Cairo (ASU, Cairo)",Egypt,Africa,XL,FC,VH,Public,31.7,386,47.6,271,17.8,801+,3.3,801+,24.9,667,12.3,801+,80.5,372,58.9,290,60.5,611=,29.8
552,551,584,Charles Darwin University,Australia,Oceania,M,CO,VH,Public,8.5,701+,9.5,701+,5.8,801+,62,267,53.6,441,96.7,119,50.8,801+,6.7,801+,72.3,347=,29.8
553,551,490,Universidad de Santiago de Chile (USACH),Chile,Americas,L,FC,HI,Public,46.6,255,46.5,284,11.7,801+,6.9,801+,9.8,801+,5.3,801+,60,743,16.1,801+,58.6,658,29.8
554,551,556,University of Houston,United States of America,Americas,XL,CO,VH,Public,19.8,610,28.5,493,8.1,801+,25.9,655,57.3,417,44.5,463,73.6,509,60.6,271,59.4,639=,29.8
555,555,526,Chiang Mai University,Thailand,Asia,XL,FC,VH,Public,46.4,258,27.3,505,20.5,801+,8.9,801+,5.7,801+,8.5,801+,67.2,627,24.4,681,75,299,29.7
556,555,643,Inha University,Republic of Korea,Asia,L,FC,VH,Private not for Profit,18.6,642,27.3,503,66.2,254,27.4,628,16.3,801+,45.8,452,30,801+,18.5,801+,71.8,357=,29.7
557,555,558,Jawaharlal Nehru University,India,Asia,M,CO,VH,Public,38.1,318,18.3,701+,18.3,801+,38.3,490,1,801+,1.5,801+,53.2,801+,27.2,615,60.3,615=,29.7
558,555,551,Thammasat University,Thailand,Asia,XL,FC,HI,Public,39.6,305,32.9,418,20.7,801+,4,801+,13.1,801+,2.5,801+,54.1,801+,85.4,130,68.5,426,29.7
559,559,558,Al Ain University,United Arab Emirates,Asia,S,FO,VH,Private not for Profit,20.8,584,13,701+,22.2,795,25.4,665,100,1=,100,28,40.8,801+,19.3,785,44.2,801+,29.5
560,560,721-730,Pakistan Institute of Engineering and Applied Sciences (PIEAS),Pakistan,Asia,S,FO,VH,Public,6.4,701+,19.2,691,53.3,361,82.7,144,1,801+,1.1,801+,23.1,801+,16.1,801+,37,801+,29.4
561,560,643,University of Manitoba,Canada,Americas,L,FC,VH,Public,17.9,663,12.6,701+,29.1,663,19.4,742,79.5,305,63.9,336,74.7,487,34.9,509,78.2,247=,29.4
562,560,526,University of Salamanca,Spain,Europe,L,FC,VH,Public,35,345,23.3,593,33.8,575,11.2,801+,9.4,801+,23.7,681,85.6,261,29.6,588,69.9,399=,29.4
