index,rank_2027,rank_2026,institution_name,country_territory,region,size,focus,research_intensity,status,academic_reputation_score,academic_reputation_rank,employer_reputation_score,employer_reputation_rank,faculty_student_score,faculty_student_rank,citations_per_faculty_score,citations_per_faculty_rank,international_faculty_score,international_faculty_rank,international_students_score,international_students_rank,international_research_network_score,international_research_network_rank,employment_outcomes_score,employment_outcomes_rank,sustainability_score,sustainability_rank,overall_score
1211,1201-1400,,Anhui University,China (Mainland),Asia,XL,FO,VH,Public,5.1,701+,9.5,701+,8.4,801+,30.9,576,2,801+,1.5,801+,25.9,801+,11,801+,32.3,801+,
1212,1201-1400,1201-1400,Ataturk University,Türkiye,Asia,XL,CO,VH,Public,8.4,701+,6.7,701+,3.9,801+,11.6,801+,7.5,801+,24.1,676,54,801+,10.9,801+,49.6,801+,
1213,1201-1400,,Azerbaijan State Pedagogical University,Azerbaijan,Asia,M,SP,LO,Public,7,701+,13.3,701+,82.8,152,1,801+,2.9,801+,2.4,801+,2,801+,14.1,801+,,,
1214,1201-1400,1001-1200,Baylor University,United States of America,Americas,L,CO,VH,Private not for Profit,8.4,701+,13.6,701+,13.8,801+,12.4,801+,5,801+,7.1,801+,52.5,801+,23.2,712,46.1,801+,
1215,1201-1400,1201-1400,Beijing Foreign Studies University,China (Mainland),Asia,M,SP,HI,Public,8.8,701+,12,701+,34.9,559,2.6,801+,16.2,801+,27.5,630,7.5,801+,17.3,801+,15.1,801+,
1216,1201-1400,1201-1400,Beni-Suef University,Egypt,Africa,XL,FC,HI,Public,7,701+,6.9,701+,1.8,801+,12.3,801+,11.7,801+,3.3,801+,61.4,723,3.4,801+,55.9,728=,
1217,1201-1400,1001-1200,Brigham Young University,United States of America,Americas,XL,CO,VH,Private not for Profit,8,701+,13.8,701+,5.7,801+,13.5,801+,1.5,801+,4.8,801+,49.3,801+,32.8,538,46.9,801+,
1218,1201-1400,1201-1400,British University in Egypt,Egypt,Africa,M,FO,VH,Private for Profit,8.6,701+,13.7,701+,31.3,610,4.8,801+,2.8,801+,5.2,801+,36.1,801+,4.4,801+,44.5,801+,
1219,1201-1400,1201-1400,Brock University,Canada,Americas,M,CO,VH,Public,8.8,701+,8.2,701+,7.4,801+,10.6,801+,2.6,801+,25,663,29.8,801+,8.9,801+,60.9,599=,
1220,1201-1400,1201-1400,Capital University – Egypt,Egypt,Africa,XL,CO,VH,Public,8.7,701+,15.3,701+,3.8,801+,2.6,801+,1.2,801+,2.8,801+,63.2,698,15.6,801+,52.2,801+,
1221,1201-1400,,Central China Normal University,China (Mainland),Asia,L,CO,VH,Public,5.5,701+,4.6,701+,9.7,801+,29.4,596,,,,,31.2,801+,6.2,801+,34.5,801+,
1222,1201-1400,1001-1200,Chung Yuan Christian University,Taiwan,Asia,L,CO,HI,Public,9,701+,9.5,701+,6.7,801+,21.8,713,5.2,801+,11.6,801+,17.7,801+,29.4,589,57.8,674=,
1223,1201-1400,1201-1400,Damascus University,Syrian Arab Republic,Asia,XL,FC,MD,Public,8.2,701+,10.8,701+,1.5,801+,1.5,801+,4.6,801+,10,801+,22.2,801+,91.3,99,36.1,801+,
1224,1201-1400,1201-1400,Delta University for Science and Technology,Egypt,Africa,L,FC,MD,Private not for Profit,21,574,11.1,701+,4,801+,6.6,801+,17.3,784,2.7,801+,17.6,801+,4,801+,33.4,801+,
1225,1201-1400,,Democritus University of Thrace (DUTH),Greece,Europe,L,CO,VH,,7.7,701+,7,701+,3,801+,20,734,1.3,801+,5.8,801+,45.6,801+,11.1,801+,41.3,801+,
1226,1201-1400,1201-1400,Dokuz Eylul Universitesi,Türkiye,Asia,XL,FC,HI,Public,9.5,701+,17.5,701+,6.4,801+,2.9,801+,2.6,801+,15.4,801+,46.5,801+,8.5,801+,59,647=,
1227,1201-1400,1001-1200,Empress Catherine II Saint Petersburg Mining University,Russian Federation,Europe,M,FO,VH,Public,2.6,701+,10.1,701+,71,212,4,801+,18.5,760,28.1,625,13.2,801+,15.2,801+,27.1,801+,
1228,1201-1400,1201-1400,Erciyes University,Türkiye,Asia,L,FC,HI,Public,6.9,701+,8.4,701+,3.6,801+,13.1,801+,8.5,801+,11.5,801+,55,801+,3.3,801+,57.4,685=,
1229,1201-1400,,Estonian University of Life Sciences,Estonia,Europe,S,CO,VH,Public,6,701+,5.6,701+,,,12.7,801+,51.5,461,,,61.4,724,14.8,801+,39.6,801+,
1230,1201-1400,1001-1200,Florida Atlantic University - Boca Raton,United States of America,Americas,L,FC,HI,Public,6.7,701+,15.2,701+,5.7,801+,13.5,801+,7.2,801+,13.7,801+,58.3,768,12.5,801+,45.6,801+,
1231,1201-1400,1201-1400,Fu Jen Catholic University,Taiwan,Asia,L,FC,HI,Private not for Profit,10.6,701+,11.5,701+,3.8,801+,12,801+,7.7,801+,6.6,801+,10.6,801+,33.1,533,53.1,801+,
1232,1201-1400,,Fujian Normal University,China (Mainland),Asia,XL,,,Public,5.6,701+,13.6,701+,7.7,801+,25.7,660,4.4,801+,4.5,801+,41.2,801+,5.2,801+,34.9,801+,
1233,1201-1400,1201-1400,Galgotias University,India,Asia,L,CO,VH,Private not for Profit,12.7,701+,5.7,701+,39.8,499,3,801+,18.1,765,13.8,801+,24.5,801+,4.1,801+,41.4,801+,
1234,1201-1400,1001-1200,German University of Technology in Oman (GUtech),Oman,Asia,S,FO,HI,Private for Profit,7.8,701+,17.6,701+,4.9,801+,8.9,801+,100,42,5.3,801+,16.6,801+,8.6,801+,25.5,801+,
1235,1201-1400,1001-1200,Gifu University,Japan,Asia,M,CO,VH,Public,6.4,701+,4.8,701+,59.9,307,12.3,801+,6,801+,5.5,801+,18.9,801+,3.6,801+,46.8,801+,
1236,1201-1400,1201-1400,Gunma University,Japan,Asia,M,FC,HI,Public,3,701+,3.6,701+,93.1,91,6.4,801+,5.7,801+,5.7,801+,7.7,801+,3.8,801+,15.2,801+,
1237,1201-1400,,Henan University,China (Mainland),Asia,XL,CO,VH,,5.3,701+,10.9,701+,32.2,600,16.1,801+,,,,,56.4,794,2.3,801+,33.1,801+,
1238,1201-1400,1201-1400,Ibn Tofail University,Morocco,Africa,XL,CO,HI,Public,11.6,701+,7.3,701+,1.3,801+,12.9,801+,24.6,670,3.4,801+,45,801+,4.9,801+,40.2,801+,
1239,1201-1400,1401+,"Indian Institute of Information Technology, Allahabad",India,Asia,S,FO,VH,Public,4.2,701+,13.6,701+,2.7,801+,38.2,492,1,801+,3.6,801+,9,801+,6.2,801+,12.1,801+,
1240,1201-1400,1001-1200,Indiana University Indianapolis (IU Indianapolis),United States of America,Americas,L,FC,MD,Public,8.2,701+,9.8,701+,18.1,801+,12.4,801+,37.4,540,5.6,801+,8.6,801+,7,801+,46.7,801+,
1241,1201-1400,,Instituto Tecnológico de Buenos Aires (ITBA),Argentina,Americas,S,SP,LO,Private not for Profit,10.4,701+,24.1,570,39.7,501,1.5,801+,16.1,801+,14.2,801+,2.5,801+,55.9,319,,,
1242,1201-1400,1201-1400,International Christian University,Japan,Asia,S,FO,HI,Private for Profit,5.8,701+,16.9,701+,22.4,787,1.8,801+,88.5,247,15.1,801+,5,801+,35.6,499,13.2,801+,
1243,1201-1400,1001-1200,Islamic University of Lebanon,Lebanon,Asia,M,FO,MD,Private for Profit,7.8,701+,7.5,701+,37.1,536,1.2,801+,33.5,575,98.8,83,1.6,801+,6.4,801+,,,
1244,1201-1400,1201-1400,Istanbul Aydin University,Türkiye,Asia,L,FO,HI,Private not for Profit,8.3,701+,5.6,701+,19.9,801+,2.1,801+,11.2,801+,84.1,213,15.1,801+,3.6,801+,42.6,801+,
1245,1201-1400,1201-1400,"ITESO, Universidad Jesuita de Guadalajara",Mexico,Americas,M,FO,MD,Private not for Profit,9.5,701+,10.1,701+,89.5,110,1.1,801+,4.2,801+,3.1,801+,3,801+,3.7,801+,25,801+,
1246,1201-1400,1201-1400,Ivan Franko National University of Lviv,Ukraine,Europe,L,CO,HI,Public,10.4,701+,25.1,553,26.5,702,1.6,801+,1.3,801+,1.3,801+,18.3,801+,26.2,640,39.3,801+,
1247,1201-1400,1201-1400,Izmir Institute of Technology (IZTECH),Türkiye,Asia,M,FO,VH,Public,9,701+,15.2,701+,7.3,801+,21.3,720,6.5,801+,5.2,801+,22,801+,5.1,801+,51.7,801+,
1248,1201-1400,1401+,Jadara University,Jordan,Asia,M,CO,HI,Private not for Profit,7.2,701+,4.9,701+,31.2,611,3.7,801+,4.7,801+,61.2,354,16.5,801+,9.5,801+,27.4,801+,
1249,1201-1400,1201-1400,Jeju National University,Republic of Korea,Asia,M,FC,VH,Public,5.8,701+,4.9,701+,49.4,389,12.8,801+,8.6,801+,7.7,801+,28,801+,3.4,801+,61.5,580=,
1250,1201-1400,1201-1400,Kagoshima University,Japan,Asia,M,FC,VH,Public,6.6,701+,4.9,701+,57.9,326,6.5,801+,6.5,801+,4.5,801+,24.4,801+,3.1,801+,23.2,801+,
1251,1201-1400,1001-1200,Kazakh-British Technical University,Kazakhstan,Asia,M,FO,HI,Public,12.8,701+,34.6,396,13.7,801+,2.8,801+,22.3,699,3.6,801+,16.4,801+,6.3,801+,41.1,801+,
1252,1201-1400,1001-1200,Kent State University,United States of America,Americas,L,FO,VH,Public,7.1,701+,5.8,701+,7.1,801+,16.9,791,25.9,653,15.1,801+,56.7,788,10.8,801+,40,801+,
1253,1201-1400,1201-1400,King Mongkuts Institute of Technology Ladkrabang (KMITL),Thailand,Asia,L,CO,VH,Public,13.1,701+,10.8,701+,5.5,801+,6.5,801+,39.7,526,7.5,801+,26.1,801+,10.7,801+,49.1,801+,
1254,1201-1400,1201-1400,Kwame Nkrumah University of Science and Technology,Ghana,Africa,XL,CO,VH,Public,12.5,701+,10.8,701+,4.5,801+,4.1,801+,,,,,69.1,593,41.6,442,41.4,801+,
1255,1201-1400,1201-1400,Kyrgyz National University,Kyrgyzstan,Asia,L,CO,MD,Public,12,701+,15.2,701+,24.4,747,1.1,801+,2.1,801+,15.6,801+,4,801+,51.4,354,20.1,801+,
1256,1201-1400,1001-1200,Kyushu Institute of Technology,Japan,Asia,M,SP,HI,Public,4.3,701+,9.9,701+,10.5,801+,34.3,539,10.7,801+,5.6,801+,22.9,801+,4,801+,36.4,801+,
1257,1201-1400,1001-1200,Lobachevsky University,Russian Federation,Europe,L,CO,VH,Public,8.8,701+,14.7,701+,49.2,391,2.9,801+,2.3,801+,34.9,557,18,801+,4.8,801+,39.1,801+,
1258,1201-1400,1001-1200,Loyola University Chicago,United States of America,Americas,L,FC,HI,Private not for Profit,11.1,701+,13.2,701+,24.5,744,10,801+,7.6,801+,4.6,801+,36,801+,24,691,40.6,801+,
1259,1201-1400,1001-1200,Lviv Polytechnic National University,Ukraine,Europe,XL,CO,VH,Public,9,701+,26.9,519,31,615,2.2,801+,3,801+,1.3,801+,24.5,801+,15.4,801+,51.1,801+,
1260,1201-1400,,Malmo University,Sweden,Europe,L,FO,VH,,10.8,701+,6.7,701+,14.6,801+,7.5,801+,,,23.6,682,44,801+,1,801+,37.6,801+,
1261,1201-1400,1201-1400,Miami University,United States of America,Americas,L,CO,VH,Public,5.1,701+,10.1,701+,7.8,801+,11.7,801+,7.1,801+,9.9,801+,42.7,801+,41.5,443,40.8,801+,
1262,1201-1400,1201-1400,Nagoya Institute of Technology (NIT),Japan,Asia,M,FO,VH,Public,8.2,701+,4.7,701+,10.2,801+,30.2,587,5.9,801+,6.9,801+,17.5,801+,13.3,801+,21.4,801+,
1263,1201-1400,1001-1200,National Research Saratov State University,Russian Federation,Europe,M,FO,VH,Public,4.5,701+,10.6,701+,97.3,58,2,801+,3.5,801+,24.9,665,10.4,801+,3.7,801+,,,
1264,1201-1400,1401+,National Taipei University,Taiwan,Asia,M,FO,HI,Public,13.5,701+,10.3,701+,9,801+,4.2,801+,5.1,801+,10.9,801+,5.1,801+,34.7,511,55.9,728=,
1265,1201-1400,1201-1400,National Taiwan Ocean University,Taiwan,Asia,M,FO,VH,Public,8,701+,7.2,701+,12.3,801+,18.8,757,9.7,801+,11.4,801+,18.4,801+,5.8,801+,58.9,650,
1266,1201-1400,1201-1400,National University of Kyiv-Mohyla Academy (NaUKMA),Ukraine,Europe,S,FO,VH,Public,5.1,701+,18.7,701+,57.7,328,1.5,801+,2.3,801+,1.2,801+,5.3,801+,47.5,386,17.2,801+,
1267,1201-1400,1201-1400,National University of Science and Technology POLITEHNICA Bucharest,Romania,Europe,L,CO,VH,Public,6.1,701+,19.2,694,4.2,801+,16.4,801+,1.5,801+,4.2,801+,72.2,533,11.5,801+,27.6,801+,
1268,1201-1400,,"National University of Science and Technology, Oman",Oman,Asia,S,SP,LO,Private not for Profit,7.8,701+,11.1,701+,9.7,801+,6.5,801+,100,39,12,801+,13.7,801+,5.2,801+,31.5,801+,
1269,1201-1400,1201-1400,New Mexico State University,United States of America,Americas,L,CO,VH,,6.3,701+,5.3,701+,10.4,801+,20.2,731,11.3,801+,9.2,801+,47.1,801+,12.3,801+,41.1,801+,
1270,1201-1400,1001-1200,Notre Dame University-Louaize NDU,Lebanon,Asia,S,CO,HI,Private not for Profit,6.6,701+,23.8,579,19.7,801+,3.4,801+,72.2,340,21.9,713,6.4,801+,7.9,801+,22.6,801+,
1271,1201-1400,1201-1400,Odessa I.I.Mechnikov National University,Ukraine,Europe,M,FO,HI,Public,3.4,701+,6.3,701+,75.8,189,1.6,801+,2,801+,5.4,801+,12.8,801+,25.8,648,15.1,801+,
1272,1201-1400,1001-1200,Ohio University,United States of America,Americas,L,FC,HI,Public,12.1,701+,11.1,701+,6.7,801+,9.8,801+,4.8,801+,5.6,801+,56.6,792,25.1,672,38.4,801+,
1273,1201-1400,,Oslo Metropolitan University,Norway,Europe,L,FO,VH,,7.4,701+,11,701+,8.4,801+,16.7,796,,,,,68.1,608,10.4,801+,40,801+,
1274,1201-1400,,Otto-Friedrich-Universität Bamberg,Germany,Europe,M,FO,VH,,6.3,701+,6,701+,1.4,801+,33,552,,,,,23.7,801+,8.4,801+,28,801+,
1275,1201-1400,1201-1400,Ozyegin University,Türkiye,Asia,M,FO,VH,Private not for Profit,7.3,701+,16.9,701+,7.3,801+,11.6,801+,23.1,687,38.9,520,19.6,801+,4.6,801+,52.4,801+,
1276,1201-1400,1201-1400,Palestine Technical University - Kadoorie,Palestine,Asia,S,CO,HI,Public,6.9,701+,13.1,701+,28.7,666,3.5,801+,66.9,368,16.4,801+,18,801+,18.7,799,24.3,801+,
1277,1201-1400,1201-1400,Paul Valéry University Montpellier,France,Europe,L,FO,VH,Public,14.8,701+,6.8,701+,3,801+,9.6,801+,5.8,801+,43.1,479,52,801+,3.6,801+,41.3,801+,
1278,1201-1400,1201-1400,Portland State University,United States of America,Americas,L,CO,VH,Public,5.2,701+,6.1,701+,13.6,801+,14.1,801+,4,801+,8.9,801+,45.5,801+,17,801+,43.7,801+,
1279,1201-1400,1201-1400,Pukyong National University,Republic of Korea,Asia,L,CO,VH,Public,8.1,701+,4.9,701+,24.9,737,13.2,801+,5.6,801+,22,711,42.8,801+,3.1,801+,64.6,516=,
1280,1201-1400,1201-1400,"Queen Margaret University , Edinburgh",United Kingdom,Europe,S,SP,LO,Public,4.3,701+,6.8,701+,6.1,801+,12,801+,64.9,377,77.6,243,6.2,801+,5,801+,22.3,801+,
1281,1201-1400,1201-1400,Riphah International University,Pakistan,Asia,L,CO,VH,Private not for Profit,10.5,701+,7.1,701+,27.6,682,6.7,801+,3.2,801+,1.6,801+,53.6,801+,4,801+,42.6,801+,
1282,1201-1400,1201-1400,Russian Presidential Academy of National Economy and Public Administration,Russian Federation,Europe,XL,FO,VH,Public,5.1,701+,23.4,589,41.1,481,1.2,801+,2,801+,4.9,801+,16.1,801+,45.1,409,,,
1283,1201-1400,1201-1400,Saint Petersburg Electrotechnical University ETU-LETI,Russian Federation,Europe,M,CO,VH,Public,3.2,701+,9.1,701+,49.1,394,2.8,801+,4.6,801+,53.5,402,13.3,801+,9.4,801+,26.3,801+,
1284,1201-1400,1201-1400,Saken Seifullin Kazakh Agrotechnical Research University,Kazakhstan,Asia,M,CO,HI,Public,7.7,701+,20.8,654,46.4,422,1.5,801+,28.1,618,11.5,801+,6.4,801+,5.8,801+,39.4,801+,
1285,1201-1400,1201-1400,Samara National Research University (Samara University),Russian Federation,Europe,M,CO,VH,Public,3.1,701+,7.9,701+,73.7,196,2.7,801+,2,801+,20,734,13.2,801+,15.3,801+,33.7,801+,
1286,1201-1400,1001-1200,San Diego State University,United States of America,Americas,XL,CO,VH,Public,8.7,701+,5.5,701+,3.7,801+,16.8,793,8,801+,3.8,801+,65.4,666,26.7,629,51.5,801+,
1287,1201-1400,1201-1400,Sathyabama Institute of Science and Technology (Deemed to be University),India,Asia,L,CO,VH,Private not for Profit,8.4,701+,8.5,701+,22.4,788,10.2,801+,9.4,801+,5.6,801+,31.5,801+,2.9,801+,55.5,741=,
1288,1201-1400,1201-1400,Seattle University,United States of America,Americas,M,CO,HI,Private not for Profit,6.1,701+,8.4,701+,39.3,508,2.9,801+,1.5,801+,19.4,746,6.7,801+,22.6,722,51.9,801+,
1289,1201-1400,1201-1400,Selcuk University,Türkiye,Asia,XL,CO,HI,Public,7.3,701+,4.1,701+,17.2,801+,7.3,801+,2.2,801+,22.6,699,51.4,801+,13.5,801+,51.2,801+,
1290,1201-1400,1201-1400,Shanghai University of Finance and Economics,China (Mainland),Asia,L,SP,VH,Public,6.9,701+,21.1,647,9.1,801+,14.3,801+,25.1,663,3.3,801+,15.9,801+,47.1,390,34.6,801+,
1291,1201-1400,1201-1400,Shinshu University,Japan,Asia,M,FC,VH,Public,4.6,701+,5.9,701+,35,558,17.4,780,6.1,801+,4.4,801+,24.8,801+,4.8,801+,27.9,801+,
1292,1201-1400,1201-1400,"Siksha ‘O’ Anusandhan (Deemed to be University), SOA",India,Asia,L,FO,VH,Private not for Profit,5.9,701+,5.4,701+,41.2,479,10.1,801+,2.4,801+,3.5,801+,33.5,801+,2.9,801+,39.5,801+,
1293,1201-1400,1201-1400,Slovak University of Agriculture in Nitra,Slovakia,Europe,S,SP,MD,Public,7.1,701+,8.7,701+,38.8,514,17.2,785,7.5,801+,8,801+,35.2,801+,11.6,801+,20.6,801+,
1294,1201-1400,1201-1400,Sookmyung Women's University,Republic of Korea,Asia,M,CO,HI,Private for Profit,7,701+,12.4,701+,55.1,344,3.9,801+,3.9,801+,6.9,801+,6,801+,3.5,801+,44,801+,
1295,1201-1400,1001-1200,Sumy State University,Ukraine,Europe,M,FC,HI,Public,5.6,701+,9.4,701+,50.8,376,5.4,801+,3.4,801+,13.1,801+,35.7,801+,7.1,801+,55.1,749=,
1296,1201-1400,1001-1200,Sungshin Women's University,Republic of Korea,Asia,M,CO,HI,Private not for Profit,8,701+,11.9,701+,79.9,171,1.5,801+,3.7,801+,6.5,801+,2.3,801+,3.3,801+,32.1,801+,
1297,1201-1400,1201-1400,Taibah University,Saudi Arabia,Asia,XL,FC,HI,Public,9.3,701+,4.9,701+,7.8,801+,7.7,801+,82.2,290,3.3,801+,38.7,801+,3.3,801+,42.1,801+,
1298,1201-1400,1201-1400,Tamkang University,Taiwan,Asia,L,CO,HI,Private for Profit,6.7,701+,10.5,701+,4.5,801+,11.4,801+,6.8,801+,10.2,801+,23,801+,33.3,530,53.7,789=,
1299,1201-1400,1201-1400,Tashkent State Transport University,Uzbekistan,Asia,L,FO,HI,Public,14.9,701+,18.3,701+,27,694,1.3,801+,5.5,801+,2.3,801+,2.5,801+,9.8,801+,31.2,801+,
1300,1201-1400,1001-1200,Tashkent State University of Economics,Uzbekistan,Asia,L,CO,MD,Public,12.6,701+,25.6,543,11,801+,1.6,801+,19.2,752,6.7,801+,34.6,801+,21.1,747,48.8,801+,
1301,1201-1400,1201-1400,Technical University of Liberec,Czechia,Europe,M,CO,VH,Public,6.2,701+,6,701+,45.7,429,8.9,801+,12.9,801+,12.4,801+,32.2,801+,6.4,801+,35.8,801+,
1302,1201-1400,1201-1400,Tecnológico de Costa Rica -TEC,Costa Rica,Americas,M,FO,HI,Public,11.9,701+,25.4,550,22.2,792,2.1,801+,5.6,801+,2.7,801+,10.1,801+,13.9,801+,20.4,801+,
1303,1201-1400,1001-1200,Telkom University,Indonesia,Asia,L,SP,HI,Private for Profit,10.9,701+,13.6,701+,19.2,801+,2.7,801+,55.2,429,11,801+,16.1,801+,11.6,801+,42.5,801+,
1304,1201-1400,,The Josip Juraj Strossmayer University of Osijek,Croatia,Europe,L,CO,HI,Public,5.7,701+,3.4,701+,48.9,396,4.7,801+,,,,,57.5,778,15.4,801+,19.4,801+,
1305,1201-1400,1201-1400,The University of Northampton,United Kingdom,Europe,L,CO,MD,Public,2.9,701+,3.5,701+,5.7,801+,3.9,801+,67.9,359,82.2,221,20,801+,7.5,801+,25.1,801+,
1306,1201-1400,1201-1400,"The University of Notre Dame, Australia",Australia,Oceania,M,FC,HI,Private not for Profit,3.5,701+,5.9,701+,6.9,801+,9.1,801+,68.8,355,44,470,21.4,801+,3.3,801+,39.2,801+,
1307,1201-1400,1201-1400,Tishk International University,Iraq,Asia,M,CO,HI,Private for Profit,10,701+,7.8,701+,8.1,801+,13.3,801+,58.2,411,1.9,801+,38.1,801+,9.6,801+,25.4,801+,
1308,1201-1400,1201-1400,Tokushima University,Japan,Asia,M,FO,VH,Public,4.8,701+,5,701+,68,239,8.6,801+,2.9,801+,3.4,801+,14.4,801+,8.9,801+,22.6,801+,
1309,1201-1400,1201-1400,Tomas Bata University in Zlin,Czechia,Europe,M,CO,HI,Public,6.3,701+,10.3,701+,14,801+,9.3,801+,32,589,31.7,589,32.2,801+,7,801+,43,801+,
1310,1201-1400,1201-1400,Tunghai University,Taiwan,Asia,L,FO,VH,Private for Profit,8.8,701+,8.9,701+,5.3,801+,15.9,801+,10.5,801+,14.8,801+,25.8,801+,22.2,727,55.2,747=,
1311,1201-1400,1201-1400,UCAM Universidad Católica San Antonio de Murcia,Spain,Europe,L,FO,VH,Private not for Profit,9,701+,9.2,701+,7.7,801+,6.8,801+,15.5,801+,54.9,389,16.5,801+,3.2,801+,46.4,801+,
1312,1201-1400,1201-1400,Universidad Autónoma Chapingo,Mexico,Americas,M,FO,VH,Public,4.6,701+,4.4,701+,83.5,146,1.8,801+,4.9,801+,1.3,801+,5.9,801+,19.5,781,29.6,801+,
1313,1201-1400,1201-1400,Universidad Autónoma de Nuevo León,Mexico,Americas,XL,FC,HI,Public,22.1,559,11.5,701+,2.7,801+,2.5,801+,3.5,801+,1.3,801+,44,801+,13.6,801+,52.4,801+,
1314,1201-1400,1201-1400,Universidad Autónoma del Estado de México (UAEMex),Mexico,Americas,XL,FC,MD,Public,22.5,552,12.1,701+,6.6,801+,1.9,801+,3.1,801+,1.5,801+,18.6,801+,2.9,801+,36.4,801+,
1315,1201-1400,1201-1400,"Universidad Central ""Marta Abreu"" de Las Villas",Cuba,Americas,M,CO,HI,Public,3.2,701+,5,701+,100,20,1.6,801+,1.1,801+,1.5,801+,7.1,801+,40.1,457,9.4,801+,
1316,1201-1400,1201-1400,Universidad Científica del Sur,Peru,Americas,L,FC,MD,Private for Profit,6.6,701+,8.1,701+,59,319,1.7,801+,3.7,801+,1.2,801+,20.4,801+,5.6,801+,47.2,801+,
1317,1201-1400,,Universidad de Almeria,Spain,Europe,L,CO,VH,,6.4,701+,2.7,701+,9.7,801+,32.6,560,,,,,64.5,677,3,801+,38.5,801+,
1318,1201-1400,,Universidad de Cádiz,Spain,Europe,L,CO,VH,,9.4,701+,3.2,701+,13.9,801+,12.5,801+,,,,,72.8,523,4.1,801+,40,801+,
1319,1201-1400,1201-1400,Universidad de La Frontera (UFRO),Chile,Americas,M,CO,VH,Public,13,701+,6.6,701+,6,801+,19,746,2.1,801+,1.6,801+,44.6,801+,4,801+,33.9,801+,
1320,1201-1400,1201-1400,Universidad de Las Américas (UDLA) Ecuador,Ecuador,Americas,L,FO,HI,Private not for Profit,17.7,672,9.9,701+,23.4,764,2.6,801+,22.3,700,4.2,801+,18.3,801+,7.9,801+,39.7,801+,
1321,1201-1400,1201-1400,Universidad de Lima,Peru,Americas,L,SP,LO,Private not for Profit,16.6,701+,26.9,517,7.3,801+,1.7,801+,3.5,801+,3.9,801+,11.8,801+,29.3,592,47.7,801+,
1322,1201-1400,1201-1400,Universidad de Los Andes - (ULA) Mérida,Venezuela (Bolivarian Republic of),Americas,L,FC,MD,Public,18.3,653,12.4,701+,21.7,801+,1.5,801+,1.4,801+,2.2,801+,15.6,801+,20.3,768,37,801+,
1323,1201-1400,1201-1400,Universidad de Monterrey (UDEM),Mexico,Americas,L,CO,MD,Private not for Profit,18.7,635,14.8,701+,7.8,801+,2,801+,12.2,801+,2.4,801+,8.7,801+,9.3,801+,40.4,801+,
1324,1201-1400,1001-1200,Universidad de Talca,Chile,Americas,M,FC,HI,Public,14.2,701+,8,701+,8,801+,12.3,801+,24.5,671,1.8,801+,38.5,801+,4,801+,32.7,801+,
1325,1201-1400,1201-1400,Universidad del Desarrollo (UDD),Chile,Americas,L,CO,HI,Private not for Profit,14.1,701+,17.8,701+,16.4,801+,3.4,801+,8.6,801+,3.1,801+,25.6,801+,7.4,801+,51.6,801+,
1326,1201-1400,1201-1400,Universidad del Norte,Colombia,Americas,M,FC,HI,Private not for Profit,12.9,701+,12.9,701+,10.9,801+,6.4,801+,7.2,801+,1.6,801+,28.6,801+,14.5,801+,48.9,801+,
1327,1201-1400,1001-1200,Universidad del Valle,Colombia,Americas,XL,FC,MD,Public,24.4,509,10.5,701+,10.6,801+,2.5,801+,2.4,801+,2.5,801+,24.6,801+,25.2,669,32.3,801+,
1328,1201-1400,1201-1400,Universidad del Valle de Guatemala (UVG),Guatemala,Americas,M,CO,MD,Private not for Profit,8.6,701+,12.8,701+,61.5,293,1.4,801+,9.9,801+,2.9,801+,6.4,801+,25.5,655,10,801+,
1329,1201-1400,1001-1200,Universidad Diego Portales,Chile,Americas,L,CO,HI,Private not for Profit,17.7,674,18.4,701+,9.1,801+,4.5,801+,15.3,801+,6.2,801+,32.1,801+,8.8,801+,44.5,801+,
1330,1201-1400,1001-1200,Universidad ICESI,Colombia,Americas,M,CO,HI,Private not for Profit,8.1,701+,11.3,701+,77,182,2.5,801+,5.6,801+,4.6,801+,5.3,801+,15.3,801+,15.4,801+,
1331,1201-1400,,Universidad Miguel Hernández de Elche,Spain,Europe,L,CO,VH,,5,701+,3.5,701+,12.5,801+,16.3,801+,2.3,801+,13.9,801+,48.5,801+,3.2,801+,59.8,622=,
1332,1201-1400,1201-1400,Universidad Nacional de Asunción,Paraguay,Americas,XL,FC,MD,Public,9.5,701+,2.6,701+,39.4,507,1.2,801+,1.4,801+,2.5,801+,16.6,801+,65.3,244,38.2,801+,
1333,1201-1400,1201-1400,Universidad Nacional de Cuyo (UNCUYO),Argentina,Americas,XL,FC,HI,Public,16.2,701+,8.2,701+,18,801+,2.8,801+,1.8,801+,18.9,752,24.1,801+,13.1,801+,49.8,801+,
1334,1201-1400,1201-1400,"Universidad Nacional, Costa Rica",Costa Rica,Americas,L,CO,MD,Public,15.1,701+,19.6,678,18.8,801+,1.8,801+,6.5,801+,3.7,801+,15.6,801+,11.2,801+,23.2,801+,
1335,1201-1400,,Universidad Pablo de Olavide,Spain,Europe,L,CO,VH,,8,701+,4,701+,11.4,801+,18.9,752,3.9,801+,,,55.8,801+,3,801+,33.1,801+,
1336,1201-1400,1001-1200,Universidade da Coruña,Spain,Europe,L,CO,VH,Public,9.3,701+,6,701+,27.6,681,12,801+,3.5,801+,8.7,801+,53.2,801+,4.6,801+,54.1,776=,
