univ_code,slug,name_cn,name_en,province,city,admin_type,category,level,education_level,current_rank,is_vocational,is_double_first_class,is_985,is_211,is_cooperative,is_private,is_independent_college
RC01249,xiamen-medical-college,厦门医学院,Xiamen Medical College,福建,厦门市,地方公办,医药,地方公办,10,医48,false,false,false,false,false,false,false
RC01060,huzhou-university-qiuzhen-college,湖州学院,Huzhou College,浙江,湖州市,地方公办,师范,地方公办,10,370,false,false,false,false,false,false,false
RC00321,harbin-sport-university,哈尔滨体育学院,Harbin Sport University,黑龙江,哈尔滨市,地方公办,体育,地方公办,10,体11,false,false,false,false,false,false,false
RC00277,shenyang-institute-of-engineering,沈阳工程学院,Shenyang Institute of Engineering,辽宁,沈阳市,地方公办,理工,地方公办,10,371,false,false,false,false,false,false,false
RC00533,henan-police-college,河南警察学院,Henan Police College,河南,郑州市,地方公办,政法,地方公办,10,政20,false,false,false,false,false,false,false
RC00555,hubei-university-of-science-and-technology,湖北科技学院,Hubei University of Science and Technology,湖北,咸宁市,地方公办,综合,地方公办,10,372,false,false,false,false,false,false,false
RC00547,hubei-university-of-arts-and-science,湖北文理学院,Hubei University of Arts and Science,湖北,襄阳市,地方公办,综合,地方公办,10,372,false,false,false,false,false,false,false
RC00698,qiannan-normal-college-for-nationalities,黔南民族师范学院,Qiannan Normal University for Nationalities,贵州,黔南布依族苗族自治州,地方公办,师范,地方公办,10,372,false,false,false,false,false,false,false
RC00636,guangxi-university-of-finance-and-economics,广西财经学院,Guangxi University of Finance and Economics,广西,南宁市,地方公办,财经,地方公办,10,财41,false,false,false,false,false,false,false
RC00803,baotou-medical-college,内蒙古科技大学包头医学院,Baotou Medical College,内蒙古,包头市,地方公办,医药,地方公办,10,医49,false,false,false,false,false,false,false
RC00534,zhengzhou-police-university,郑州警察学院,Zhengzhou Police University,河南,郑州市,中央部属,政法,中央部属,10,政21,false,false,false,false,false,false,false
RC00207,institute-of-disaster-prevention,防灾科技学院,Institute of Disaster Prevention,河北,廊坊市,中央部属,理工,中央部属,10,375,false,false,false,false,false,false,false
RC00614,guangdong-university-of-petrochemical-technology,广东石油化工学院,Guangdong University of Petrochemical Technology,广东,茂名市,地方公办,综合,地方公办,10,376,false,false,false,false,false,false,false
RC00526,luoyang-institute-of-science-and-technology,洛阳理工学院,Luoyang Institute of Science and Technology,河南,洛阳市,地方公办,综合,地方公办,10,377,false,false,false,false,false,false,false
RC00692,zunyi-normal-university,遵义师范学院,Zunyi Normal University,贵州,遵义市,地方公办,师范,地方公办,10,378,false,false,false,false,false,false,false
RC00397,quzhou-university,衢州学院,Quzhou University,浙江,衢州市,地方公办,理工,地方公办,10,379,false,false,false,false,false,false,false
RC00648,chongqing-three-gorges-university,重庆三峡科技大学,Chongqing Three Gorges University,重庆,重庆市,地方公办,综合,地方公办,10,380,false,false,false,false,false,false,false
RC00315,qiqihar-university,齐齐哈尔大学,Qiqihar University,黑龙江,齐齐哈尔市,地方公办,综合,地方公办,10,381,false,false,false,false,false,false,false
RC00436,sanming-university,三明学院,Sanming University,福建,三明市,地方公办,综合,地方公办,10,381,false,false,false,false,false,false,false
RC00313,mudanjiang-medical-university,牡丹江医科大学,Mudanjiang Medical University,黑龙江,牡丹江市,地方公办,医药,地方公办,10,医50,false,false,false,false,false,false,false
RC00323,qiqihar-medical-university,齐齐哈尔医学院,Qiqihar Medical University,黑龙江,齐齐哈尔市,地方公办,医药,地方公办,10,医50,false,false,false,false,false,false,false
RC00624,youjiang-medical-university-for-nationalites,右江民族医学院,Youjiang Medical University for Nationalities,广西,百色市,地方公办,医药,地方公办,10,医50,false,false,false,false,false,false,false
RC00218,taiyuan-normal-university,太原师范学院,Taiyuan Normal University,山西,太原市,地方公办,师范,地方公办,10,383,false,false,false,false,false,false,false
RC00498,shandong-university-of-political-science-and-law,山东政法学院,Shandong University of Political Science and Law,山东,济南市,地方公办,政法,地方公办,10,政22,false,false,false,false,false,false,false
RC00408,fuyang-normal-university,阜阳师范大学,Fuyang Normal University,安徽,阜阳市,地方公办,师范,地方公办,10,384,false,false,false,false,false,false,false
RC00206,north-china-institute-of-aerospace-engineering,北华航天工业学院,North China Institute of Aerospace Engineering,河北,廊坊市,地方公办,理工,地方公办,10,385,false,false,false,false,false,false,false
RC00672,mianyang-teachers-college,绵阳师范学院,Mianyang Teachers' College,四川,绵阳市,地方公办,师范,地方公办,10,386,false,false,false,false,false,false,false
RC00308,jiamusi-university,佳木斯大学,Jiamusi University,黑龙江,佳木斯市,地方公办,综合,地方公办,10,387,false,false,false,false,false,false,false
RC00686,chengdu-medical-college,成都医学院,Chengdu Medical College,四川,成都市,地方公办,医药,地方公办,10,医53,false,false,false,false,false,false,false
RC00687,chengdu-normal-university,成都师范学院,Chengdu Normal University,四川,成都市,地方公办,师范,地方公办,10,388,false,false,false,false,false,false,false
RC00721,yunnan-police-college,云南警官学院,Yunnan Police College,云南,昆明市,地方公办,政法,地方公办,10,政23,false,false,false,false,false,false,false
RC00722,kunming-university,昆明学院,Kunming University,云南,昆明市,地方公办,综合,地方公办,10,389,false,false,false,false,false,false,false
RC00516,zhoukou-normal-university,周口师范学院,Zhoukou Normal University,河南,周口市,地方公办,师范,地方公办,10,389,false,false,false,false,false,false,false
RC00438,fujian-police-college,福建警察学院,Fujian Police College,福建,福州市,地方公办,政法,地方公办,10,政24,false,false,false,false,false,false,false
RC00600,lingnan-normal-university,岭南师范学院,Lingnan Normal University,广东,湛江市,地方公办,师范,地方公办,10,391,false,false,false,false,false,false,false
RC00439,putian-university,莆田学院,Putian University,福建,莆田市,地方公办,综合,地方公办,10,391,false,false,false,false,false,false,false
RC00440,fujian-jiangxia-university,福建江夏学院,Fujian Jiangxia University,福建,福州市,地方公办,财经,地方公办,10,财42,false,false,false,false,false,false,false
RC00480,dezhou-university,德州学院,Dezhou University,山东,德州市,地方公办,综合,地方公办,10,393,false,false,false,false,false,false,false
RC00306,heilongjiang-university-of-science-and-technology,黑龙江科技大学,Heilongjiang University of Science and Technology,黑龙江,哈尔滨市,地方公办,理工,地方公办,10,394,false,false,false,false,false,false,false
RC00682,panzhihua-university,攀枝花学院,Panzhihua University,四川,攀枝花市,地方公办,综合,地方公办,10,394,false,false,false,false,false,false,false
RC00481,binzhou-university,山东航空学院,Shandong University of Aeronautics,山东,滨州市,地方公办,理工,地方公办,10,394,false,false,false,false,false,false,false
RC00394,zhejiang-university-of-water-resources-and-electric-power,浙江水利水电学院,Zhejiang University of Water Resources and Electric Power,浙江,杭州市,地方公办,理工,地方公办,10,394,false,false,false,false,false,false,false
RC00437,longyan-university,龙岩学院,Longyan University,福建,龙岩市,地方公办,综合,地方公办,10,398,false,false,false,false,false,false,false
RC00810,tibet-agriculture-and-animal-husbandry-university,西藏农牧大学,Xizang Agricultural and Animal Husbandry University,西藏,林芝市,地方公办,农业,地方公办,10,398,false,false,false,false,false,false,false
RC00712,qujing-normal-university,曲靖师范学院,Qujing Normal University,云南,曲靖市,地方公办,师范,地方公办,10,400,false,false,false,false,false,false,false
RC00202,north-china-institute-of-science-and-technology,华北科技学院,University of Emergency Management,河北,廊坊市,中央部属,理工,中央部属,10,401,false,false,false,false,false,false,false
RC00484,taishan-university,泰山学院,Taishan University,山东,泰安市,地方公办,综合,地方公办,10,402,false,false,false,false,false,false,false
RC00493,weifang-university,潍坊学院,Weifang University,山东,潍坊市,地方公办,综合,地方公办,10,403,false,false,false,false,false,false,false
RC00586,hunan-university-of-finance-and-economics,湖南财政经济学院,Hunan University of Finance and Economics,湖南,长沙市,地方公办,财经,地方公办,10,财43,false,false,false,false,false,false,false
RC00200,hebei-normal-university-of-science-and-technology,河北科技师范学院,Hebei Normal University of Science and Technology,河北,秦皇岛市,地方公办,师范,地方公办,10,404,false,false,false,false,false,false,false
RC00573,xiangnan-university,湘南学院,Xiangnan University,湖南,郴州市,地方公办,理工,地方公办,10,405,false,false,false,false,false,false,false
RC00574,hengyang-normal-university,衡阳师范学院,Hengyang Normal University,湖南,衡阳市,地方公办,师范,地方公办,10,406,false,false,false,false,false,false,false
RC00583,hunan-institute-of-engineering,湖南工程学院,Hunan Institute of Engineering,湖南,湘潭市,地方公办,理工,地方公办,10,406,false,false,false,false,false,false,false
RC00673,neijiang-normal-university,内江师范学院,Neijiang Normal University,四川,内江市,地方公办,师范,地方公办,10,408,false,false,false,false,false,false,false
RC00518,xuchang-university,许昌学院,Xuchang University,河南,许昌市,地方公办,理工,地方公办,10,409,false,false,false,false,false,false,false
RC00674,yibin-university,宜宾学院,Yibin University,四川,宜宾市,地方公办,综合,地方公办,10,409,false,false,false,false,false,false,false
RC00205,heibei-finance-university,河北金融学院,Hebei Finance University,河北,保定市,地方公办,财经,地方公办,10,财44,false,false,false,false,false,false,false
RC00704,guizhou-institute-of-technology,贵州理工学院,Guizhou Institute of Technology,贵州,贵阳市,地方公办,理工,地方公办,10,411,false,false,false,false,false,false,false
RC00286,jilin-university-of-chemical-technology,吉林化工大学,Jilin University of Chemical Technology,吉林,吉林市,地方公办,理工,地方公办,10,412,false,false,false,false,false,false,false
RC00776,ningxia-normal-university,宁夏师范大学,Ningxia Normal University,宁夏,固原市,地方公办,师范,地方公办,10,413,false,false,false,false,false,false,false
RC00424,hefei-normal-university,合肥师范学院,Hefei Normal University,安徽,合肥市,地方公办,师范,地方公办,10,414,false,false,false,false,false,false,false
RC00554,hubei-polytechnic-university,湖北理工学院,Hubei Polytechnic University,湖北,黄石市,地方公办,理工,地方公办,10,414,false,false,false,false,false,false,false
RC00375,jiangsu-second-normal-university,江苏第二师范学院,Jiangsu Second Normal University,江苏,南京市,地方公办,师范,地方公办,10,414,false,false,false,false,false,false,false
RC00412,west-anhui-university,皖西学院,West Anhui University,安徽,六安市,地方公办,师范,地方公办,10,417,false,false,false,false,false,false,false
RC01245,shanghai-police-college,上海公安学院,Shanghai Police College,上海,上海市,地方公办,政法,地方公办,10,政25,false,false,false,false,false,false,false
RC00517,anyang-normal-university,安阳师范学院,Anyang Normal University,河南,安阳市,地方公办,师范,地方公办,10,418,false,false,false,false,false,false,false
RC00743,xian-physical-education-university,西安体育学院,Xi'an Physical Education University,陕西,西安市,地方公办,体育,地方公办,10,体12,false,false,false,false,false,false,false
RC00553,hubei-engineering-university,湖北工程学院,Hubei Engineering University,湖北,孝感市,地方公办,综合,地方公办,10,419,false,false,false,false,false,false,false
RC00519,nanyang-normal-university,南阳师范学院,Nanyang Normal University,河南,南阳市,地方公办,师范,地方公办,10,419,false,false,false,false,false,false,false
RC01036,wenzheng-college-of-soochow-university,苏州城市学院,Suzhou City University,江苏,苏州市,地方公办,综合,地方公办,10,419,false,false,false,false,false,false,false
